2017102530,nba.g.1947680,nba.t.30,nba.t.7,https://sports.yahoo.com/nba/denver-nuggets-charlotte-hornets-2017102530/,Wed, 25 Oct 2017 23:00:00,4637
2017102520,nba.g.1947701,nba.t.20,nba.t.10,https://sports.yahoo.com/nba/houston-rockets-philadelphia-76ers-2017102520/,Wed, 25 Oct 2017 23:00:00,4637
2017102517,nba.g.1947353,nba.t.17,nba.t.5,https://sports.yahoo.com/nba/cleveland-cavaliers-brooklyn-nets-2017102517/,Wed, 25 Oct 2017 23:30:00,4637
2017102525,nba.g.1947706,nba.t.25,nba.t.11,https://sports.yahoo.com/nba/indiana-pacers-oklahoma-city-thunder-2017102525/,Thu, 26 Oct 2017 00:00:00,4637
2017102514,nba.g.1947808,nba.t.14,nba.t.24,https://sports.yahoo.com/nba/san-antonio-spurs-miami-heat-2017102514/,Thu, 26 Oct 2017 00:00:00,4637
2017102506,nba.g.1947723,nba.t.6,nba.t.29,https://sports.yahoo.com/nba/memphis-grizzlies-dallas-mavericks-2017102506/,Thu, 26 Oct 2017 00:30:00,4637
2017102521,nba.g.1947258,nba.t.21,nba.t.26,https://sports.yahoo.com/nba/utah-jazz-phoenix-suns-2017102521/,Thu, 26 Oct 2017 02:00:00,4637
2017102513,nba.g.1947200,nba.t.13,nba.t.27,https://sports.yahoo.com/nba/washington-wizards-los-angeles-lakers-2017102513/,Thu, 26 Oct 2017 02:30:00,4637
2017102509,nba.g.1947352,nba.t.9,nba.t.28,https://sports.yahoo.com/nba/toronto-raptors-golden-state-warriors-2017102509/,Thu, 26 Oct 2017 02:30:00,4637
2017102525,nba.g.1947706,nba.t.25,nba.t.11,https://sports.yahoo.com/nba/indiana-pacers-oklahoma-city-thunder-2017102525/,Thu, 26 Oct 2017 00:00:00,4638
2017102514,nba.g.1947808,nba.t.14,nba.t.24,https://sports.yahoo.com/nba/san-antonio-spurs-miami-heat-2017102514/,Thu, 26 Oct 2017 00:00:00,4638
